4.27,189.8
42.7,-1797.75
56.45,-2177.39
86.34,-301.64
49.39,-2140.48
62.69,-2120.0
97.96,2021.22
13.99,-200.32
6.5,121.85
9.43,4.72
69.01,-1913.15
81.46,-993.88
49.51,-2179.32
4.49,183.82
76.74,-1516.54
49.74,-2155.45
63.96,-2181.57
57.24,-2123.17
68.54,-1922.51
43.82,-1807.29
67.8,-1997.94
37.44,-1530.39
20.1,-542.99
63.23,-2148.46
89.7,257.38
70.76,-1873.72
10.28,-31.65
14.57,-234.69
9.24,12.37
79.14,-1257.76
87.51,-129.86
32.37,-1303.59
43.58,-1891.26
27.8,-987.97
63.93,-2133.66
66.78,-1990.2
16.68,-349.11
16.43,-325.44
80.27,-1152.45
38.08,-1652.08
52.31,-2138.49
27.54,-1033.99
53.65,-2201.95
24.66,-788.1
19.82,-512.53
74.42,-1623.77
25.11,-820.65
29.28,-1129.82
73.53,-1755.95
19.44,-500.82
47.96,-1948.07
19.21,-500.97
63.7,-2178.82
95.31,1405.1
58.95,-2277.22
48.53,-2096.79
44.44,-1814.32
48.87,-2042.39
68.25,-2066.61
89.98,289.77
8.15,59.07
81.0,-979.45
18.42,-430.38
22.94,-714.48
40.13,-1713.43
33.8,-1340.45
7.97,65.36
87.24,-164.33
95.54,1395.6
78.39,-1340.8
77.61,-1332.05
50.3,-2155.09
95.96,1438.39
11.13,-69.84
88.84,93.7
42.53,-1782.24
70.09,-1853.06
21.53,-645.53
6.65,119.84
38.95,-1696.94
67.99,-2067.42
59.63,-2126.71
38.33,-1562.22
7.16,98.09
35.54,-1444.54
39.95,-1643.66
40.04,-1667.66
23.86,-775.34
53.6,-2237.99
99.59,2333.99
93.12,938.0
40.28,-1728.68
96.86,1657.23
71.64,-1760.04
53.88,-2230.72
30.51,-1226.6
93.16,903.83
60.0,-2277.82
10.01,-20.58
97.62,1860.37
34.25,-1397.55
6.03,138.78
1.99,248.8
14.99,-274.57
8.23,52.24
48.63,-2069.98
24.83,-851.04
17.4,-404.35
31.2,-1215.78
80.65,-1050.54
53.91,-2182.32
35.48,-1490.68
59.22,-2321.33
83.54,-710.7
46.81,-1922.69
4.71,184.99
90.92,458.27
22.01,-675.18
12.68,-139.21
22.04,-632.86
73.41,-1706.47
18.57,-465.48
54.04,-2139.55
65.93,-2120.03
66.08,-2106.91
77.29,-1468.75
23.51,-755.55
83.59,-669.54
4.68,173.74
61.33,-2199.28
71.97,-1828.47
38.58,-1678.84
62.68,-2259.52
38.53,-1577.73
15.47,-284.18
77.58,-1389.54
76.33,-1490.19
71.12,-1903.18
83.19,-725.65
48.57,-2013.68
89.06,134.89
18.13,-450.27
69.13,-1916.21
43.65,-1882.57
84.07,-625.59
13.09,-158.8
19.32,-508.03
39.99,-1773.42
26.75,-985.11
74.33,-1607.76
15.89,-301.63
12.75,-141.68
35.65,-1470.21
69.11,-2034.87
40.82,-1718.53
93.57,958.01
4.94,175.88
28.95,-1060.27
17.27,-377.18
57.36,-2257.11
62.5,-2184.75
19.69,-516.62
42.5,-1861.5
44.53,-1930.08
75.8,-1583.03
74.94,-1604.05
76.34,-1514.4
87.28,-161.92
62.66,-2099.84
14.71,-238.11
45.59,-1926.75
83.81,-651.76
83.62,-664.09
91.75,608.47
52.49,-2106.39
11.27,-80.76
1.39,261.99
18.71,-486.26
36.82,-1494.05
80.15,-1093.63
22.76,-699.42
65.6,-2150.64
27.56,-945.15
96.56,1609.22
32.59,-1274.3
73.42,-1709.01
53.67,-2191.97
64.44,-2232.55
21.2,-591.23
93.71,1033.62
31.49,-1169.21
22.8,-682.79
28.5,-1032.06
44.49,-1893.78
98.06,2053.99
64.69,-2102.71
62.57,-2139.99
